,title,address.label,distance,position.lat,position.lng,id,access,address.postalCode
0,Arshitha PG,"Arshitha PG, Yarab Nagar Main Road, Banashankari 2nd Stage-Karesandra, Banashankari, Bengaluru 560070, India",256,12.92209,77.56994,here:pds:place:356tdr1t-990041b3a7d0431688033eab1bed5fcb,"[{'lat': 12.9221, 'lng': 77.56989}]",560070
1,Lakshmi PG (Sri LAKSHMI VENKATESHWARA LADIES PG),"Lakshmi PG, K R Main Road, Banashankari 2nd Stage-Karesandra, Banashankari, Bengaluru 560070, India",629,12.92186,77.57339,here:pds:place:356tdr1t-0ec7e9ef7c5b477a9b9dc3d1cd50f535,"[{'lat': 12.92186, 'lng': 77.57353}]",560070
2,Sapthagiri PG,"Sapthagiri PG, 2nd Cross Road, 2nd Stage-Bendre Nagar, Banashankari, Bengaluru 560019, India",897,12.91403,77.56568,here:pds:place:356tdr1m-66d6515b1c924e1c91af8027e6f45aa6,"[{'lat': 12.91406, 'lng': 77.56554}]",560019
3,Balaji PG,"Balaji PG, 3rd Cross Road, Thyagaraja NGR-Byrappa Block, Basavanagudi, Bengaluru 560028, India",978,12.93066,77.56817,here:pds:place:356tdr1t-cc461fc584a34b0ab2f69a8e9a02af0b,"[{'lat': 12.93056, 'lng': 77.56806}]",560028
4,PG Accommodation,"PG Accommodation, 50 Feet Road, Kumaraswamy Layout 2nd Stage, Bengaluru 560111, India",1785,12.90743,77.56042,here:pds:place:356tdr1k-4f8f0e1a40004e65ba158f69e7cf0dc2,"[{'lat': 12.90744, 'lng': 77.56036}]",560111
5,Metro PG,"Metro PG, 2nd Cross Road, 2nd Stage-Gangadhara Nagar, Banashankari, Bengaluru 560019, India",1630,12.90811,77.57274,here:pds:place:356tdr1m-4402243558e16755c3e6cd76b16aea88,"[{'lat': 12.90795, 'lng': 77.57267}]",560019
6,Karthik PG,"Karthik PG, 3rd Main Road, Thyagaraja NGR-Byrappa Block, Basavanagudi, Bengaluru 560028, India",1060,12.93141,77.56744,here:pds:place:356tdr1t-33f13e956e714a689fd69c7f18e97284,"[{'lat': 12.93154, 'lng': 77.56748}]",560028
7,Cloud PG (Cloud 9 Boys PG),"Cloud PG, 2nd Cross Road, Teachers Colony, Kumaraswamy Layout, Bengaluru 560078, India",1120,12.91182,77.56705,here:pds:place:356tdr1m-aa20e767a46e4cd48bb09013375bc578,"[{'lat': 12.91195, 'lng': 77.56708}]",560078
8,Aravind PG,"Aravind PG, Zoruballa Building, Banashankari 2nd Stage, Banashankari, Bengaluru 560070, India",1172,12.91235,77.57222,here:pds:place:356tdr1m-9df64eb69f0f44e19f505015adcc2668,"[{'lat': 12.91248, 'lng': 77.57222}]",560070
9,GRC PG,"GRC PG, 2nd Main Road, 1st Stage, Kumaraswamy Layout, Bengaluru 560078, India",1325,12.91049,77.564,here:pds:place:356tdr1m-9866d9afb7c246158cd94ed4a323be22,"[{'lat': 12.91043, 'lng': 77.5641}]",560078
10,Shri Chakra (Sree Chakra Pg),"Shri Chakra, 45th Cross Road, Jayngr 8th Block, Jayanagar, Bengaluru 560041, India",1220,12.91774,77.57801,here:pds:place:356jx7ps-f8844a4053080a06fc38204caed2d166,"[{'lat': 12.91764, 'lng': 77.57802}]",560041
11,Ashraya PG,"Ashraya PG, 9th Cross Road, JHBCS Layout, Kumaraswamy Layout, Bengaluru 560078, India",1255,12.91079,77.56544,here:pds:place:356tdr1m-f3e1dca854f9443685e5fd5ec1706802,"[{'lat': 12.91066, 'lng': 77.5654}]",560078
12,Annapoorna PG,"Annapoorna PG, 1st A Main Road, Jayngr 7th Block-7th Block West, Jayanagar, Bengaluru 560070, India",1271,12.92955,77.57629,here:pds:place:356tdr1t-7f89eca3d13c4e6e8dabb7ff97778b94,"[{'lat': 12.92952, 'lng': 77.57629}]",560070
13,Nikita PG,"Nikita PG, 3rd Main Road, 1st Stage, Kumaraswamy Layout, Bengaluru 560078, India",1370,12.91014,77.56374,here:pds:place:356tdr1m-4c24d0b72e4c4e058296a187b48806f1,"[{'lat': 12.91011, 'lng': 77.56373}]",560078
14,Alpha PG,"Alpha PG, 100 Feet Ring Road, Banashankari 2nd Stage, Banashankari, Bengaluru 560070, India",1443,12.90909,77.56983,here:pds:place:356tdr1m-060d306df58441f48bff2cb77e0d3885,"[{'lat': 12.90912, 'lng': 77.56987}]",560070
15,CKR PG,"CKR PG, Sarakki Main Road, 1st Block-Arekempanahalli, Jayanagar, Bengaluru 560011, India",1452,12.91528,77.57915,here:pds:place:356tdr1m-6ec22733f24b40189c810a2fcd081c47,"[{'lat': 12.91526, 'lng': 77.57923}]",560011
16,Anusuya PG,"Anusuya PG, 1st Cross Road, 2nd Stage-Gangadhara Nagar, Banashankari, Bengaluru 560019, India",1463,12.90971,77.57273,here:pds:place:356tdr1m-fdec076296b3429f89bdd5a0f99cf87f,"[{'lat': 12.90971, 'lng': 77.57259}]",560019
17,Subham PG,"Subham PG, 50 Feet Road, Bendre Nagar, Banashankari 2nd Stage, Bengaluru 560070, India",1425,12.90959,77.56387,here:pds:place:356tdr1m-a1eb4dd81970408a9f56805bc9ab62c2,"[{'lat': 12.90939, 'lng': 77.56388}]",560070
18,"Perugia (PG), Umbria, Italia","Perugia, Umbria, Italia",7023310,43.11135,12.38393,here:cm:namedplace:20126352,,
